experiment,layer,int_auroc_alice,int_auroc_bob,cl_auroc_alice,cl_auroc_bob
A-to-A,23,0.12560386473429952,0.7875,0.9227053140096618,0.21666666666666665
A-to-A,17,0.1690821256038647,0.8166666666666667,0.9227053140096618,0.21666666666666665
A-to-A,11,0.4178743961352657,0.6000000000000001,0.9227053140096618,0.21666666666666665
A-to-A,5,0.9178743961352657,0.18958333333333335,0.9227053140096618,0.21666666666666665
B-to-B,23,0.8888888888888888,0.13541666666666669,0.14492753623188406,0.9
B-to-B,17,0.8888888888888888,0.2,0.14492753623188406,0.9
B-to-B,11,0.1497584541062802,0.8791666666666667,0.14492753623188406,0.9
B-to-B,5,0.15458937198067635,0.9041666666666667,0.14492753623188406,0.9
A-to-B,23,0.7560386473429952,0.24791666666666665,0.14492753623188406,0.9
A-to-B,17,0.12560386473429955,0.8166666666666667,0.14492753623188406,0.9
A-to-B,11,0.48309178743961356,0.7,0.14492753623188406,0.9
A-to-B,5,0.13043478260869565,0.8958333333333333,0.14492753623188406,0.9
