experiment,layer,auroc_all,auroc_disagreement
A-to-A,1,0.5519075822176508,0.5845588235294119
A-to-A,2,0.5558726103378293,0.592330603127327
A-to-A,3,0.5561104014245345,0.5795482750062051
A-to-A,4,0.5666727496944661,0.586156614544552
A-to-A,5,0.593460192113078,0.6053301067262348
A-to-A,6,0.6100779180560855,0.6169645073219161
A-to-A,7,0.6397520336667938,0.6443286175229584
A-to-A,8,0.6870558698453252,0.6942014147431125
A-to-A,9,0.8171165342225614,0.8701445768180691
A-to-A,10,0.8505731871194652,0.9265481509059321
A-to-A,11,0.9013111689920422,0.9846736162819558
A-to-A,12,0.9036558997074616,0.9946326631918591
A-to-A,13,0.9075932777012791,0.9993174484983867
A-to-A,14,0.9118237470345238,0.9996587242491934
A-to-A,15,0.9176081534692613,0.9998138495904692
A-to-A,16,0.9260027318324845,0.9999224373293621
A-to-A,17,0.929862689472491,0.9999069247952346
A-to-A,18,0.926505964132256,0.9998758997269793
A-to-A,19,0.9247031758935138,0.9999379498634897
A-to-A,20,0.9261409824642898,0.999922437329362
A-to-A,21,0.928352992573176,0.9999069247952345
A-to-A,22,0.9275898490856104,0.9998914122611069
A-to-A,23,0.9324618013504323,0.9999069247952346
A-to-A,24,0.9347346417373127,0.999891412261107
A-to-A,25,0.9352212839612678,0.9997673119880863
A-to-A,26,0.9349392526723848,0.9997828245222139
A-to-A,27,0.9351438636074567,0.9997828245222139
A-to-A,28,0.9348397122174849,0.9997828245222139
A-to-A,29,0.9342922397155354,0.9997983370563415
A-to-A,30,0.9340931588057357,0.9998138495904692
A-to-A,31,0.9311180052092838,0.9998293621245966
A-to-A,32,0.9431458101763525,0.999891412261107
A-to-B,1,0.5503453500782498,0.5829144949118887
A-to-B,2,0.5556071691247629,0.5909499875899727
A-to-B,3,0.5558504902367404,0.5805410771903698
A-to-B,4,0.5740387433570572,0.5952159344750559
A-to-B,5,0.6034474177546991,0.6141722511789527
A-to-B,6,0.6232006680270529,0.6266908662199057
A-to-B,7,0.6602573673761688,0.6599187143211716
A-to-B,8,0.7136221112530485,0.7185095557210226
A-to-B,9,0.8182391293528212,0.8753567882849341
A-to-B,10,0.8498542838340771,0.9224993794986348
A-to-B,11,0.8902345283717946,0.9710536113179449
A-to-B,12,0.8950069401817167,0.9888154628940184
A-to-B,13,0.9062771316864919,0.9965872424919335
A-to-B,14,0.9136431253490829,0.997517994539588
A-to-B,15,0.9204395264086357,0.99744043186895
A-to-B,16,0.9241501733662923,0.9955634152395135
A-to-B,17,0.927965890804121,0.9972697939935468
A-to-B,18,0.9245483351858917,0.9965717299578059
A-to-B,19,0.9207215576975186,0.9973628691983123
A-to-B,20,0.8930714313364413,0.9707743857036486
A-to-B,21,0.742610503730002,0.7236907421196328
A-to-B,22,0.6595882343182308,0.5606540084388186
A-to-B,23,0.527072238720131,0.30463514519731943
A-to-B,24,0.4422748311959786,0.15891039960287914
A-to-B,25,0.4122080837909429,0.113427649540829
A-to-B,26,0.38968429085720924,0.07908289898237778
A-to-B,27,0.36550149034181084,0.046692727724001
A-to-B,28,0.34381826124945397,0.029148051625713566
A-to-B,29,0.33068998125321436,0.02011975676346485
A-to-B,30,0.3170474089066587,0.014116406056093295
A-to-B,31,0.2642246075064563,0.00631360138992305
A-to-B,32,0.2926268173045551,0.00895073219161081
B-to-B,1,0.44469698226520893,0.4116095805410771
B-to-B,2,0.4352572291255371,0.3919086621990568
B-to-B,3,0.439924570455287,0.4022865475304046
B-to-B,4,0.4292516216799111,0.3920793000744602
B-to-B,5,0.3985931615707483,0.3615506329113924
B-to-B,6,0.38013946723736525,0.35120377264829983
B-to-B,7,0.3410034783858962,0.3120811615785555
B-to-B,8,0.2834248552515885,0.23976172747580046
B-to-B,9,0.17880230712654357,0.09704641350210971
B-to-B,10,0.15853476450387377,0.06782079920575824
B-to-B,11,0.14181196808069413,0.027007321916108214
B-to-B,12,0.1400534200441296,0.0046072226358897985
B-to-B,13,0.13028739541339704,0.0017374038222884077
B-to-B,14,0.12630577721740188,0.0012099776619508553
B-to-B,15,0.1260237459285189,0.0008376768428890536
B-to-B,16,0.12814727563304965,0.0005894762968478524
B-to-B,17,0.12481820041917592,0.00041883842144452613
B-to-B,18,0.12551498360347507,0.0004343509555721011
B-to-B,19,0.1231315427111502,0.0004343509555721016
B-to-B,20,0.12635554744485183,0.0004343509555721017
B-to-B,21,0.13000536412451408,0.0004653760238272517
B-to-B,22,0.1193490054249548,0.0004188384214445266
B-to-B,23,0.12705233062915097,0.0005119136262099768
B-to-B,24,0.12370113531418839,0.0005894762968478519
B-to-B,25,0.12492327089934799,0.0007756267063787536
B-to-B,26,0.12679794946662906,0.0008842144452717788
B-to-B,27,0.11994624815435405,0.0009462645817820794
B-to-B,28,0.11396829083508911,0.001116902457185405
B-to-B,29,0.10893043781210081,0.001318565400843881
B-to-B,30,0.1060050544430988,0.0014892032762472067
B-to-B,31,0.09937455414171242,0.0022338049143708107
B-to-B,32,0.09774872671168107,0.0013030528667163058
