experiment,layer,probe_character,center_character,test_character,int_auroc_alice,int_auroc_bob,cl_auroc_alice,cl_auroc_bob
A-to-A,31,Alice,Alice,Alice,0.11792561792561793,0.8411980501532741,0.9890852390852392,0.2655661088496909
A-to-A,30,Alice,Alice,Alice,0.12283437283437283,0.8037589828634604,0.9890852390852392,0.2655661088496909
A-to-A,29,Alice,Alice,Alice,0.08980133980133981,0.8141866425448515,0.9890852390852392,0.2655661088496909
A-to-A,28,Alice,Alice,Alice,0.07259182259182259,0.7993869038645158,0.9890852390852392,0.2655661088496909
A-to-A,27,Alice,Alice,Alice,0.0628031878031878,0.7974018794914317,0.9890852390852392,0.2655661088496909
A-to-A,26,Alice,Alice,Alice,0.04706629706629706,0.7913714256997839,0.9890852390852392,0.2655661088496909
A-to-A,25,Alice,Alice,Alice,0.04172441672441672,0.7903412231770441,0.9890852390852392,0.2655661088496909
A-to-A,24,Alice,Alice,Alice,0.043312543312543306,0.7939343685612342,0.9890852390852392,0.2655661088496909
A-to-A,23,Alice,Alice,Alice,0.052985677985677986,0.7961957887331021,0.9890852390852392,0.2655661088496909
A-to-A,22,Alice,Alice,Alice,0.053043428043428036,0.7909442685562089,0.9890852390852392,0.2655661088496909
A-to-A,21,Alice,Alice,Alice,0.05064680064680064,0.7857681290517111,0.9890852390852392,0.2655661088496909
A-to-A,20,Alice,Alice,Alice,0.06569069069069071,0.7877782803155937,0.9890852390852392,0.2655661088496909
A-to-A,19,Alice,Alice,Alice,0.07513282513282513,0.8016231971455853,0.9890852390852392,0.2655661088496909
A-to-A,18,Alice,Alice,Alice,0.07031069531069531,0.7987084778129554,0.9890852390852392,0.2655661088496909
A-to-A,17,Alice,Alice,Alice,0.10204435204435204,0.8152168450675913,0.9890852390852392,0.2655661088496909
A-to-A,16,Alice,Alice,Alice,0.12193924693924695,0.8232323232323233,0.9890852390852392,0.2655661088496909
A-to-A,15,Alice,Alice,Alice,0.24295449295449298,0.8460224131865924,0.9890852390852392,0.2655661088496909
A-to-A,14,Alice,Alice,Alice,0.27838415338415334,0.829212523242374,0.9890852390852392,0.2655661088496909
A-to-A,13,Alice,Alice,Alice,0.3694848694848695,0.7460173878084326,0.9890852390852392,0.2655661088496909
