experiment,layer,auroc_all,auroc_disagreement
A-to-A,1,0.5352290259966488,0.5704734425415736
A-to-A,2,0.5441213066343713,0.5733277488210475
A-to-A,3,0.5440660063816491,0.5797654504839911
A-to-A,4,0.5554246782907798,0.5888092578803674
A-to-A,5,0.5444199279990709,0.5616933482253661
A-to-A,6,0.5610708340937118,0.5789432861752295
A-to-A,7,0.6449668474984931,0.6638123603871928
A-to-A,8,0.8055200712267255,0.8446109456440803
A-to-A,9,0.8373453666683256,0.8949491188880616
A-to-A,10,0.8577898700997063,0.93078307272276
A-to-A,11,0.8919433061809093,0.9872952345495161
A-to-A,12,0.9023508137432188,0.9959202035244478
A-to-A,13,0.9064375024193861,0.999596674112683
A-to-A,14,0.9110993137238638,0.9997673119880863
A-to-A,15,0.9145389894431818,0.9997673119880864
A-to-A,16,0.913233903478939,0.9997207743857037
A-to-A,17,0.9373005734636207,0.999674236783321
A-to-A,18,0.9495882896184835,0.999596674112683
A-to-A,19,0.9608750711990753,0.9994725738396625
A-to-A,20,0.9604271391520258,0.9994105237031522
A-to-A,21,0.962097206784235,0.999162323157111
A-to-A,22,0.9617709352931743,0.998945147679325
A-to-A,23,0.960659400213459,0.9987124596674113
A-to-A,24,0.9592326536932274,0.9985263092578804
A-to-A,25,0.9578280272740847,0.9982315711094565
A-to-A,26,0.9564123408043975,0.9980609332340532
A-to-A,27,0.9553561059774043,0.9979368329610325
A-to-A,28,0.9534040070563123,0.9977661950856292
A-to-A,29,0.9515569786153923,0.9977661950856292
A-to-A,30,0.9491956578241563,0.9976420948126087
A-to-A,31,0.9467292665527481,0.9976110697443534
A-to-A,32,0.9664272165723797,0.9991157855547282
A-to-B,1,0.5341451410432946,0.5695737155621743
A-to-B,2,0.5448180898186705,0.5741964507321916
A-to-B,3,0.5526928458063054,0.5836280714817572
A-to-B,4,0.5652404731489623,0.5947815835194838
A-to-B,5,0.550602496253408,0.5673088855795483
A-to-B,6,0.5669547809833491,0.5859859766691486
A-to-B,7,0.6428820279708678,0.6599032017870439
A-to-B,8,0.8113155377120073,0.8562763713080169
A-to-B,9,0.8430412926987076,0.9042101017622238
A-to-B,10,0.859985290132776,0.9327841896252171
A-to-B,11,0.885191145323534,0.9777084884586746
A-to-B,12,0.8921589771665257,0.985247580044676
A-to-B,13,0.9052596070364043,0.9978437577562671
A-to-B,14,0.9146938301508037,0.9983246463142219
A-to-B,15,0.9239289723554036,0.9986038719285182
A-to-B,16,0.9246865858176971,0.9987434847356664
A-to-B,17,0.9600732175346042,0.9987124596674113
A-to-B,18,0.9590612229097887,0.9938104988830976
A-to-B,19,0.9316986578628663,0.933590841399851
A-to-B,20,0.784616575697751,0.6068968726731198
A-to-B,21,0.6695367497829465,0.3337676842889054
A-to-B,22,0.574934607451156,0.12835070737155624
A-to-B,23,0.5478706637689335,0.08697877885331348
A-to-B,24,0.5313690683566423,0.06811553735418219
A-to-B,25,0.5124066116982154,0.047514892032762455
A-to-B,26,0.49933916197997025,0.04048771407297094
A-to-B,27,0.4874274875436181,0.03598907917597416
A-to-B,28,0.4757038339665212,0.03347604864730701
A-to-B,29,0.4575155808462045,0.031521469347232545
A-to-B,30,0.43258069689378476,0.02866716306775873
A-to-B,31,0.4155371590048167,0.028139736907421182
A-to-B,32,0.4070375101614214,0.03090096798212955
B-to-B,1,0.46884660262897404,0.4280528667163068
B-to-B,2,0.44924819306424235,0.4039153636138
B-to-B,3,0.44481864282119765,0.39636075949367094
B-to-B,4,0.43348762103842814,0.38661888806155376
B-to-B,5,0.4406932439681249,0.410011789525937
B-to-B,6,0.42628752813400356,0.3901247207743857
B-to-B,7,0.3549004318949738,0.30572102258624967
B-to-B,8,0.2003362255365507,0.11823653512037725
B-to-B,9,0.16533116556342664,0.05040022338049143
B-to-B,10,0.14590418678213363,0.03262285927029039
B-to-B,11,0.12493986097516466,0.013511417225117893
B-to-B,12,0.12166055598874086,0.009090344998758996
B-to-B,13,0.12693620009843445,0.0018615040953090085
B-to-B,14,0.1289933694996986,0.001085877388930256
B-to-B,15,0.12173244631727967,0.0005739637627202774
B-to-B,16,0.09733950484153713,0.0006670389674857278
B-to-B,17,0.1022944074854422,0.0009307520476545042
B-to-B,18,0.10904103831754511,0.0008531893770166287
B-to-B,19,0.11701533476007986,0.0011789525936957057
B-to-B,20,0.12282186129590612,0.0011789525936957057
B-to-B,21,0.1366635145522615,0.0014892032762472073
B-to-B,22,0.13906907554567524,0.0017218912881608334
B-to-B,23,0.13979903888160766,0.0023268801191362615
B-to-B,24,0.14039075158573475,0.003195582030280466
B-to-B,25,0.1389197648633254,0.00394018366840407
B-to-B,26,0.1378082297836101,0.004839910647803425
B-to-B,27,0.13571235020544045,0.006468726731198808
B-to-B,28,0.13683494533570018,0.0075701166542566384
B-to-B,29,0.13664139445117265,0.008687019111442044
B-to-B,30,0.1374819582925494,0.009881484239265322
B-to-B,31,0.15028396679772826,0.011169024571854057
B-to-B,32,0.1251002317080589,0.0024354678580292876
