experiment,layer,int_auroc_alice,int_auroc_bob,cl_auroc_alice,cl_auroc_bob
A-to-A,23,0.12560386473429952,0.7875,0.9227053140096618,0.21666666666666665
A-to-A,17,0.15700483091787437,0.8041666666666667,0.9227053140096618,0.21666666666666665
A-to-A,11,0.48792270531400966,0.7916666666666667,0.9227053140096618,0.21666666666666665
A-to-A,5,0.44202898550724634,0.6333333333333333,0.9227053140096618,0.21666666666666665
B-to-B,23,0.8888888888888888,0.13541666666666669,0.14492753623188406,0.9
B-to-B,17,0.893719806763285,0.20208333333333334,0.14492753623188406,0.9
B-to-B,11,0.6183574879227053,0.6166666666666667,0.14492753623188406,0.9
B-to-B,5,0.46618357487922707,0.5125,0.14492753623188406,0.9
A-to-B,23,0.7560386473429952,0.24791666666666665,0.14492753623188406,0.9
A-to-B,17,0.12077294685990336,0.8374999999999999,0.14492753623188406,0.9
A-to-B,11,0.5458937198067633,0.6250000000000001,0.14492753623188406,0.9
A-to-B,5,0.4975845410628019,0.4708333333333333,0.14492753623188406,0.9
