experiment,layer,int_auroc_alice,int_auroc_bob,cl_auroc_alice,cl_auroc_bob
A-to-A,23,0.09873256888440858,0.790305976111942,0.9627698672715053,0.24439675482985393
A-to-A,22,0.10914136004704302,0.813679293601852,0.9627698672715053,0.24439675482985393
A-to-A,21,0.10667895245295698,0.8106830427567557,0.9627698672715053,0.24439675482985393
A-to-A,20,0.11621356266801075,0.8036687427014402,0.9627698672715053,0.24439675482985393
A-to-A,19,0.11039356518817203,0.8010694310708651,0.9627698672715053,0.24439675482985393
A-to-A,18,0.0934166036626344,0.7993228985269712,0.9627698672715053,0.24439675482985393
A-to-A,17,0.09276031165994622,0.7921882362582204,0.9627698672715053,0.24439675482985393
A-to-A,16,0.09955949680779569,0.8055970990145663,0.9627698672715053,0.24439675482985393
A-to-A,15,0.1453371765793011,0.7908488865214808,0.9627698672715053,0.24439675482985393
A-to-A,14,0.12369266633064516,0.8193465612259532,0.9627698672715053,0.24439675482985393
A-to-A,13,0.17894720262096775,0.7920320214705703,0.9627698672715053,0.24439675482985393
A-to-A,12,0.23733093918010756,0.7052815963614759,0.9627698672715053,0.24439675482985393
A-to-A,11,0.4622343329973118,0.6574517014607364,0.9627698672715053,0.24439675482985393
A-to-A,10,0.3385154149865591,0.5938748437852124,0.9627698672715053,0.24439675482985393
A-to-A,9,0.3785518523185484,0.6055986355534613,0.9627698672715053,0.24439675482985393
A-to-A,8,0.3138335853494624,0.6280525906045769,0.9627698672715053,0.24439675482985393
A-to-A,7,0.391835202452957,0.5202464608387454,0.9627698672715053,0.24439675482985393
A-to-A,6,0.4402748025873656,0.5228688205527443,0.9627698672715053,0.24439675482985393
A-to-A,5,0.5074974798387097,0.4984557784106041,0.9627698672715053,0.24439675482985393
A-to-A,4,0.5018612441196236,0.4617888385814673,0.9627698672715053,0.24439675482985393
A-to-A,3,0.501210202452957,0.5356861158345455,0.9627698672715053,0.24439675482985393
A-to-A,2,0.5007376722110215,0.5097672655753827,0.9627698672715053,0.24439675482985393
A-to-A,1,0.4732469128024194,0.5256422732580771,0.9627698672715053,0.24439675482985393
A-to-A,0,0.4797625798051075,0.5263951773165885,0.9627698672715053,0.24439675482985393
